index,name,team,points,value
Norberto Murara Neto2023-09-17T13:00:00Z,Norberto Murara Neto,Bournemouth,8.492093789156472,45
Bernd Leno2023-09-16T14:00:00Z,Bernd Leno,Fulham,5.705319054867854,46
Alisson Ramses Becker2023-09-16T11:30:00Z,Alisson Ramses Becker,Liverpool,5.259277805599347,55
Aaron Ramsdale2023-09-17T15:30:00Z,Aaron Ramsdale,Arsenal,4.922074512225175,50
Emiliano Martínez Romero2023-09-16T14:00:00Z,Emiliano Martínez Romero,Aston Villa,4.50568825036757,49
Ederson Santana de Moraes2023-09-16T14:00:00Z,Ederson Santana de Moraes,Man City,4.347601190965086,56
Nick Pope2023-09-16T16:30:00Z,Nick Pope,Newcastle,4.154400567587702,55
Matt Turner2023-09-18T18:45:00Z,Matt Turner,Nott'm Forest,4.076010480454707,40
Guglielmo Vicario2023-09-16T14:00:00Z,Guglielmo Vicario,Spurs,3.7904503591058,51
James Trafford2023-09-18T18:45:00Z,James Trafford,Burnley,3.6464757225272977,45
Sam Johnstone2023-09-16T14:00:00Z,Sam Johnstone,Crystal Palace,3.581689588311679,45
Jordan Pickford2023-09-17T15:30:00Z,Jordan Pickford,Everton,3.56853449389316,45
Robert Sánchez2023-09-17T13:00:00Z,Robert Sánchez,Chelsea,3.4750256615068578,45
André Onana2023-09-16T14:00:00Z,André Onana,Man Utd,3.2495469752842823,50
Jason Steele2023-09-16T14:00:00Z,Jason Steele,Brighton,3.217146192675337,44
Wes Foderingham2023-09-16T14:00:00Z,Wes Foderingham,Sheffield Utd,3.2096712530238545,45
Thomas Kaminski2023-09-16T14:00:00Z,Thomas Kaminski,Luton,3.177958045764715,45
Alphonse Areola2023-09-16T14:00:00Z,Alphonse Areola,West Ham,3.0677636127737866,41
Mark Flekken2023-09-16T16:30:00Z,Mark Flekken,Brentford,2.714228861584854,45
José Malheiro de Sá2023-09-16T11:30:00Z,José Malheiro de Sá,Wolves,2.611294518473453,50
